Time,Price,Volume,Returns,Bulls,Bears
2017090614,4615.09,1363.037752,0.013579282,16568.9938,19339.66948
2017090616,4645.94,1290.34645,0.006684593,16057.14678,19201.19529
2017090618,4608.52,987.5531471,-0.008054344,15944.43195,19198.63022
2017090620,4577.51,908.6758095,-0.006728841,16052.84508,19333.13128
2017090622,4605.8,626.3593285,0.006180216,15757.82253,19405.54097
2017090700,4507.51,874.1006156,-0.021340484,15855.98142,19522.12255
2017090702,4515.97,543.2572558,0.001876868,15839.23347,19668.18819
2017090704,4550,461.9871107,0.00753548,16211.87173,19678.82587
2017090706,4490.57,839.6197025,-0.013061538,16344.89914,19859.45117
2017090708,4592.21,738.157337,0.022634098,16258.79845,19483.40166
2017090710,4620,841.7099026,0.006051553,16136.00622,19744.22842
2017090712,4665.12,1259.43706,0.009766234,16477.13357,19517.51878
2017090714,4641.06,694.4974793,-0.005157424,16343.93032,19714.9742
2017090716,4618.16,984.6007072,-0.004934218,15940.3723,19740.36608
2017090718,4602.71,703.9357822,-0.003345488,15933.36367,19797.68353
2017090720,4610,1017.394333,0.00158385,15995.93824,19771.8219
2017090722,4615,296.1541412,0.001084599,15926.50153,19746.86744
2017090800,4587.75,415.038666,-0.005904659,15959.19947,19762.06267
2017090802,4612.87,227.5158329,0.005475451,15998.93735,19772.83958
2017090804,4608.17,275.8412241,-0.001018888,15936.16566,19825.85614
2017090806,4639.7,466.6967979,0.006842195,15882.49713,19777.07584
2017090808,4654.36,1090.303814,0.003159687,15922.42954,19875.43061
2017090810,4627.84,482.0230885,-0.005697883,15989.68967,20003.75093
2017090812,4450,3767.805561,-0.038428295,15540.72788,20556.98268
2017090814,4389.49,6740.057798,-0.013597753,17032.40917,20939.99103
2017090816,4319.99,2638.107449,-0.015833274,17499.03571,21072.19618
2017090818,4197.2,2699.746377,-0.028423677,17801.14727,21346.23353
2017090820,4181.06,2918.869058,-0.003845421,18436.352,21226.14979
2017090822,4312,1971.295956,0.031317417,18593.72448,21294.19815
2017090900,4230.43,1097.067053,-0.018916976,18648.19663,21287.4041
2017090902,4266.99,987.832856,0.008642147,18723.94739,21116.45026
2017090904,4376.81,679.9791683,0.025737112,19193.402,21314.31696
2017090906,4328.02,789.4978865,-0.011147388,19251.0614,21342.81776
2017090908,4323.36,562.537513,-0.001076705,19401.61039,21345.63177
2017090910,4356.01,603.156733,0.007551997,19226.34267,21616.82819
2017090912,4285,1049.224291,-0.016301615,19239.64102,21958.96466
2017090914,4285,729.5849294,0,19300.74412,22146.78113
2017090916,4254.14,893.5781607,-0.007201867,19191.12816,22159.69894
2017090918,4276.3,1478.466821,0.005209043,18979.70737,21811.00467
2017090920,4275.75,515.1437969,-0.000128616,19002.50052,22049.39528
2017090922,4308.72,588.3190257,0.007710928,18961.06185,21684.91423
2017091000,4280,325.2979658,-0.006665553,18972.079,21753.91927
2017091002,4204,887.7025985,-0.017757009,19246.61722,22030.14126
2017091004,4142,1890.031054,-0.014747859,18342.05973,21513.38585
2017091006,4096.01,3370.356785,-0.011103332,18567.26427,21790.79044
2017091008,4072.14,1810.721697,-0.005827622,18448.52264,20282.20232
2017091010,4121.52,1235.642948,0.012126302,18439.8797,20409.06932
2017091012,4144.11,943.0562572,0.005480988,18374.86297,20669.90743
2017091014,4128.78,871.9899603,-0.003699226,18248.82317,20922.61397
2017091016,4268.01,1628.406849,0.033721826,18705.29491,20700.35438
2017091018,4293.55,740.2718478,0.005984053,19324.31199,20895.29105
2017091020,4238.99,581.9204031,-0.012707433,19568.1701,20994.66651
2017091022,4226.22,438.8057777,-0.00301251,19916.11841,21228.93103
2017091100,4291.35,935.5841628,0.015410935,20117.23628,20836.53643
2017091102,4315.95,801.196766,0.005732462,20384.47833,20819.55333
2017091104,4144,1599.404434,-0.039840591,20603.65331,20198.35803
2017091106,4160.01,1157.907741,0.003863417,20636.30463,20118.12515
2017091108,4169,1024.437411,0.002161052,20790.52772,20232.34374
2017091110,4178.49,828.8604085,0.002276325,20922.86242,20365.11535
2017091112,4246.95,1474.478541,0.016383909,20814.29577,20664.227
2017091114,4240,927.3023099,-0.001636469,21112.92506,21176.09624
2017091116,4223.71,1059.389888,-0.003841981,21338.77276,21751.92482
2017091118,4197.67,619.2167528,-0.006165196,21326.97519,21856.47119
2017091120,4192.17,413.3406612,-0.001310251,21451.25176,22302.32371
2017091122,4207.31,350.4759673,0.003611495,21511.84294,22482.60776
2017091200,4230,472.6468994,0.005392995,21511.29697,22353.55253
2017091202,4270.87,467.9635337,0.009661939,21251.51657,22499.89786
2017091204,4300.95,696.5808934,0.007043061,21229.31228,22600.5781
2017091206,4356.87,939.5471931,0.013001779,21009.62973,22221.93707
2017091208,4312.61,1295.847565,-0.010158669,21265.61464,22826.07091
2017091210,4339.98,1071.051237,0.006346505,21663.65627,23228.38281
2017091212,4262.62,1334.857225,-0.017824967,21850.68243,24146.57418
2017091214,4237.56,1036.121378,-0.005879013,22027.07633,24210.68335
2017091216,4187,1165.182372,-0.011931394,21926.37184,24390.4624
2017091218,4164.85,3332.672173,-0.005290184,21871.22535,24895.20995
2017091220,4200,852.5975346,0.00843968,22278.94587,25248.58977
2017091222,4172.56,629.3696943,-0.006533333,22431.34929,25656.14878
2017091300,4105.13,864.5317474,-0.016160343,22160.32695,25472.4652
2017091302,3945,2949.159478,-0.039007291,21652.17405,24987.93899
2017091304,3975.99,2290.677823,0.007855513,21691.2447,24023.51038
2017091306,3947.07,1993.751865,-0.00727366,21370.12753,23860.64195
2017091308,3929,2161.050801,-0.004578079,21360.3894,23959.46251
2017091310,3830,2865.365822,-0.025197251,21470.99352,23611.16256
2017091312,3836.64,3538.492705,0.001733681,21388.92017,23404.71728
2017091314,3819.51,5601.869972,-0.004464844,20516.99843,22926.77723
2017091316,3910.51,2739.598507,0.023825046,20234.61976,22396.29867
2017091318,3850,1890.831483,-0.015473685,20255.3371,22113.39096
2017091320,3881.4,1093.939527,0.008155844,20207.13288,22105.19244
2017091322,3865.34,1647.105189,-0.004137682,20199.0635,22683.24582
2017091400,3907.33,571.1142421,0.01086321,20216.51912,22847.63687
2017091402,3797.99,1184.421501,-0.027983303,20047.5703,22724.42855
2017091404,3792.71,1778.670739,-0.001390209,20133.46527,23003.27099
2017091406,3872.28,1231.435104,0.020979722,20130.94876,23049.95568
2017091408,3757.53,2048.66153,-0.029633704,20645.37737,24262.31975
2017091410,3604.96,7040.856742,-0.040603801,22559.00652,22733.44325
